Gene Name	Accession-1	Left-End-Position	Right-End-Position	Accession-2	Product	Names	Object ID	Regulation - genes directly activated by gene	Accession-1	Regulation - genes directly inhibited by gene	Accession-1	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Transcription Units
ycjT	b1316	1377884	1380151	ECK1311	kojibiose phosphorylase	ycjT // b1316 // ECK1311	G6654					carbohydrate metabolic process	cytosol	hydrolase activity, hydrolyzing O-glycosyl compounds // transferase activity // catalytic activity // carbohydrate binding // hydrolase activity, acting on glycosyl bonds // kojibiose phosphorylase activity	ycjMNOPQRSTUV-ymjB-ompG
ppdB	b2825	2963153	2963716	ECK2821	prepilin-type N-terminal cleavage/methylation domain-containing protein PpdB	ppdB // ygdC // b2825 // ECK2821	EG11156					protein secretion by the type II secretion system	membrane // plasma membrane // cytosol		ppdAB-ygdB-ppdC-recC
ybfD	b0706	738092	738853	ECK0695	H repeat-associated putative transposase YbfD	ybfD // b0706 // ECK0695	EG11524					DNA transposition	cytosol	transposase activity // DNA binding	ybfD
bisC	b3551	3714061	3716394	ECK3538	biotin sulfoxide reductase	bisC // b3551 // ECK3538	EG10124					anaerobic respiration	outer membrane-bounded periplasmic space // cytosol	molybdopterin cofactor binding // metal ion binding // oxidoreductase activity // electron transfer activity // L-methionine:thioredoxin-disulfide S-oxidoreductase activity // molybdenum ion binding	bisC
ydfX	b1568	1647346	1647636	ECK1562	Qin prophage; protein YdfX	ydfX // b1568 // ECK1562	G6835								dicC-ydfXW
mqo	b2210	2305108	2306754	ECK2202	malate:quinone oxidoreductase	mqo // yojH // b2210 // ECK2202	EG12069					tricarboxylic acid cycle	cytoplasm // cytosol // cytoplasmic side of plasma membrane	oxidoreductase activity, acting on CH-OH group of donors // oxidoreductase activity // flavin adenine dinucleotide binding // L-malate dehydrogenase (quinone) activity	mqo
ynfH	b1590	1663609	1664463	ECK1585	putative menaquinol dehydrogenase	ynfH // b1590 // ECK1585	G6848					anaerobic respiration // anaerobic electron transport chain	oxidoreductase complex // dimethyl sulfoxide reductase complex // membrane // plasma membrane	dimethyl sulfoxide reductase activity // oxidoreductase activity	ynfEFGH-dmsD // ynfEFGH-dmsD
yfhH	b2561	2698759	2699607	ECK2559	putative DNA-binding transcriptional regulator YfhH	yfhH // b2561 // ECK2559	EG12308					carbohydrate derivative metabolic process // regulation of DNA-templated transcription // DNA-templated transcription	cytosol	carbohydrate derivative binding // DNA-binding transcription factor activity // DNA binding	yfhH
fliP	b1948	2021869	2022606	ECK1946	flagellar biosynthesis protein FliP	fliP // flaR // b1948 // ECK1946	EG11975					protein secretion by the type III secretion system // chemotaxis // bacterial-type flagellum-dependent cell motility // bacterial-type flagellum organization // protein secretion // protein transport	bacterial-type flagellum secretion apparatus // type III protein secretion system complex // bacterial-type flagellum // bacterial-type flagellum basal body // membrane // plasma membrane		fliLMNOPQR // fliLMNOPQR
metR	b3828	4011863	4012816	ECK3822	DNA-binding transcriptional dual regulator MetR	metR // b3828 // ECK3822	EG10591	metH // hmp // metE // glyA	b4019 // b2552 // b3829 // b2551	glyA // metR	b2551 // b3828	methionine biosynthetic process // regulation of DNA-templated transcription	cytoplasm // cytosol	transcription cis-regulatory region binding // DNA-binding transcription factor activity // amino acid binding // DNA binding	metR // metR
yjeJ	b4145	4373365	4374234	ECK4139	protein YjeJ	yjeJ // b4145 // ECK4139	G7835						cytosol		yjeJ
yeaG	b1783	1866908	1868842	ECK1781	protein kinase YeaG	yeaG // b1783 // ECK1781	G6969					protein autophosphorylation // protein phosphorylation // cellular response to nitrogen starvation	cytosol	protein kinase activity	yeaGH // yeaGH
ecpA	b0293	310084	310671	ECK0292	common pilus major subunit	ecpA // yagZ // matB // b0293 // ECK0292	G6164						pilus		ecpA
ynfE	b1587	1658069	1660495	ECK1582	putative selenate reductase YnfE	ynfE // b1587 // ECK1582	G6845					anaerobic respiration	plasma membrane // outer membrane-bounded periplasmic space	molybdopterin cofactor binding // oxidoreductase activity // protein binding // molybdenum ion binding // dimethyl sulfoxide reductase activity // electron transfer activity // 4 iron, 4 sulfur cluster binding // metal ion binding // selenate reductase activity	ynfEFGH-dmsD // ynfEFGH-dmsD
lolB	b1209	1262877	1263500	ECK1197	outer membrane lipoprotein LolB	lolB // hemM // ychC // b1209 // ECK1197	EG11293					protein transport // lipoprotein localization to outer membrane // lipoprotein metabolic process	cell outer membrane // outer membrane-bounded periplasmic space	lipoprotein particle binding // protein binding	lolB-ispE-prs
metE	b3829	4013053	4015314	ECK3823	cobalamin-independent homocysteine transmethylase	metE // metB12 // b3829 // ECK3823	EG10584					homocysteine metabolic process // tetrahydrofolate interconversion // methylation // methionine biosynthetic process	cytosol	methionine synthase activity // protein binding // methyltransferase activity // metal ion binding // zinc ion binding // 5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	metE
pinQ	b1545	1633622	1634212	ECK1538	Qin prophage; putative recombinase PinQ	pinQ // ydfL // b1545 // ECK1538	G6819					DNA integration // DNA recombination	cytosol	ligase activity // hydrolase activity // DNA binding // DNA strand exchange activity	pinQ
ybcF	b0521	550439	551332	ECK0514	putative carbamate kinase	ybcF // arcC // b0521 // ECK0514	EG12384					phosphorylation // arginine deiminase pathway // arginine metabolic process // allantoin assimilation pathway	cytoplasm // cytosol	ATP binding // kinase activity // carbamate kinase activity	fdrA-ylbEF-ybcF
nusA	b3169	3316039	3317526	ECK3158	transcription termination/antitermination protein NusA	nusA // b3169 // ECK3158	EG10665					regulation of DNA-templated transcription elongation // ribosome biogenesis // protein complex oligomerization // DNA-templated transcription termination // transcription antitermination	transcription elongation factor complex // cytoplasm // cytosol	protein domain specific binding // bacterial-type RNA polymerase core enzyme binding // protein binding // DNA-binding transcription factor activity // nucleotide binding // RNA binding	nusA-infB // metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp // metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp // metY-yhbC-nusA-infB // rimP-nusA-infB
fliG	b1939	2014880	2015875	ECK1937	flagellar motor switch protein FliG	fliG // flaAII.2 // flaBII // b1939 // ECK1937	EG11654					bacterial-type flagellum-dependent swimming motility // archaeal or bacterial-type flagellum-dependent cell motility // chemotaxis // bacterial-type flagellum-dependent cell motility // bacterial-type flagellum assembly	bacterial-type flagellum rotor complex // bacterial-type flagellum basal body, C ring // bacterial-type flagellum basal body // bacterial-type flagellum // plasma membrane	identical protein binding // cytoskeletal motor activity // protein binding	fliFGHIJK // fliFGHIJK
metA	b4013	4214280	4215209	ECK4005	homoserine <i>O</i>-succinyltransferase	metA // b4013 // ECK4005	EG10581					L-methionine biosynthetic process from homoserine via O-succinyl-L-homoserine and cystathionine // methionine biosynthetic process	cytoplasm // cytosol	homoserine O-acetyltransferase activity // acyltransferase activity // protein homodimerization activity // homoserine O-succinyltransferase activity	metA // metA
yhdT	b3257	3407375	3407617	ECK3244	DUF997 domain-containing protein YhdT	yhdT // b3257 // ECK3244	G7693						plasma membrane		yhdT-panF-prmA
prmC	b1212	1266094	1266927	ECK1200	protein-(glutamine-N5) methyltransferase	prmC // hemK // b1212 // ECK1200	EG12424					macromolecule methylation // regulation of gene expression // translational termination // methylation // protein methylation // peptidyl-glutamine methylation	cytosol	N-methyltransferase activity // protein-(glutamine-N5) methyltransferase activity // S-adenosylmethionine-dependent methyltransferase activity // methyltransferase activity // nucleic acid binding // protein methyltransferase activity // protein-glutamine N-methyltransferase activity	hemA-prfA-prmC
fimF	b4318	4547742	4548272	ECK4309	type 1 fimbriae minor subunit FimF	fimF // b4318 // ECK4309	EG10313					cell-substrate adhesion // mechanosensory behavior // cell adhesion involved in single-species biofilm formation // cell adhesion // pilus assembly	pilus tip // pilus // extracellular region		fimAICDFGH
appA	b0980	1040617	1041915	ECK0971	periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase	appA // b0980 // ECK0971	EG10049					dephosphorylation // cellular response to phosphate starvation // cellular response to anoxia	periplasmic space // outer membrane-bounded periplasmic space	GTPase activity // 4-phytase activity // hydrolase activity // acid phosphatase activity // nucleotidase activity // inositol phosphate phosphatase activity // sugar-phosphatase activity	appCBA-yccB // appA // appCBA-yccB
yhaB	b3120	3267854	3268393	ECK3109	protein YhaB	yhaB // b3120 // ECK3109	EG11173						cytosol		yhaBC
mmuP	b0260	275325	276728	ECK0262	CP4-6 prophage; <i>S</i>-methyl-L-methionine transporter	mmuP // ykfD // b0260 // ECK0262	G6135					transmembrane transport // amino acid transmembrane transport // amino acid transport // S-methylmethionine transport // methionine biosynthetic process	membrane // plasma membrane	amino acid transmembrane transporter activity // S-methylmethionine transmembrane transporter activity	mmuPM
ydaG	b1355	1419322	1419456	ECK1353	Rac prophage; uncharacterized protein YdaG	ydaG // gatA // b1355 // ECK1353	G6679						cytosol		ydaGF
yjhU	b4295	4519338	4520324	ECK4284	KpLE2 phage-like element; putative DNA-binding transcriptional regulator YjhU	yjhU // b4295 // ECK4284	G7909					regulation of DNA-templated transcription	cytosol	carbohydrate binding // DNA binding	yjhU
frc	b2374	2492004	2493254	ECK2370	formyl-CoA transferase	frc // yfdW // b2374 // ECK2370	G7237					oxalate catabolic process // cellular response to acidic pH	cytosol	CoA-transferase activity // transferase activity // formyl-CoA transferase activity	yfdX // frc
fliS	b1925	2005303	2005713	ECK1924	flagellar biosynthesis protein FliS	fliS // b1925 // ECK1924	EG11388					bacterial-type flagellum assembly // bacterial-type flagellum organization // bacterial-type flagellum-dependent cell motility	cytosol // cytoplasm		fliDST // fliDST
metH	b4019	4223828	4227511	ECK4011	cobalamin-dependent methionine synthase	metH // b4019 // ECK4011	EG10587					tetrahydrofolate metabolic process // homocysteine metabolic process // tetrahydrofolate interconversion // pteridine-containing compound metabolic process // methylation // methionine biosynthetic process	cytoplasm // cytosol	methyltransferase activity // metal ion binding // protein binding // cobalamin binding // zinc ion binding // methionine synthase activity	metH // metH
ygjQ	b3086	3236540	3237232	ECK3076	DUF218 domain-containing protein YgjQ	ygjQ // b3086 // ECK3076	G7605						membrane // plasma membrane		ygjQ
rimK	b0852	891967	892869	ECK0843	ribosomal protein S6 modification protein	rimK // nek // b0852 // ECK0843	EG10852					protein modification process // translation // SOS response // C-terminal protein amino acid modification	cytoplasm // cytosol	catalytic activity // ligase activity // metal ion binding // ATP binding // ribosomal S6-glutamic acid ligase activity // identical protein binding	rimK-ybjN // ybjC-nfsA-rimK-ybjN
yraH	b3142	3287426	3288010	ECK3130	putative fimbrial protein YraH	yraH // b3142 // ECK3130	G7637					cell adhesion involved in single-species biofilm formation // cell adhesion	extracellular region // pilus		yraH
ynfF	b1588	1660556	1662979	ECK1583	putative selenate reductase YnfF	ynfF // b1588 // ECK1583	G6846					anaerobic respiration	oxidoreductase complex // plasma membrane // outer membrane-bounded periplasmic space	molybdopterin cofactor binding // oxidoreductase activity // protein binding // molybdenum ion binding // dimethyl sulfoxide reductase activity // electron transfer activity // 4 iron, 4 sulfur cluster binding // metal ion binding // selenate reductase activity	ynfEFGH-dmsD // ynfEFGH-dmsD
ybgA	b0707	739001	739510	ECK0696	DUF1722 domain-containing protein YbgA	ybgA // tkp // b0707 // ECK0696	EG11108						cytosol		ybgA-phr // ybgA-phr
mmuM	b0261	276715	277647	ECK0263	CP4-6 prophage; homocysteine <i>S</i>-methyltransferase	mmuM // yagD // b0261 // ECK0263	G6136					S-methylmethionine cycle // DNA damage response // methylation // methionine biosynthetic process // S-methylmethionine metabolic process	cytosol	catalytic activity // S-methylmethionine-homocysteine S-methyltransferase activity // metal ion binding // methyltransferase activity // zinc ion binding // S-adenosylmethionine-homocysteine S-methyltransferase activity	mmuPM
xisE	b1141	1200787	1201032	ECK1127	e14 prophage; putative excisionase	xisE // ymfG // b1141 // ECK1127	G6585					DNA recombination	cytosol	DNA binding	ymfH-xisE-intE
abgB	b1337	1401810	1403255	ECK1333	<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B	abgB // ydaI // b1337 // ECK1333	G6669					folic acid catabolic process	catalytic complex // cytoplasm // cytosol	dipeptidase activity // protein binding // para-aminobenzoyl-glutamate hydrolase activity // protein heterodimerization activity // hydrolase activity	abgABT-ogt
ydjF	b1770	1854096	1854854	ECK1768	putative DNA-binding transcriptional regulator YdjF	ydjF // b1770 // ECK1768	G6957					regulation of DNA-templated transcription	cytosol	protein binding // DNA-binding transcription factor activity // DNA binding	ydjF
fliN	b1946	2021088	2021501	ECK1944	flagellar motor switch protein FliN	fliN // motD // b1946 // ECK1944	EG10324					bacterial-type flagellum-dependent swimming motility // bacterial-type flagellum-dependent cell motility // archaeal or bacterial-type flagellum-dependent cell motility // chemotaxis	bacterial-type flagellum rotor complex // bacterial-type flagellum basal body, C ring // bacterial-type flagellum // membrane // bacterial-type flagellum basal body // plasma membrane	cytoskeletal motor activity // protein binding	fliLMNOPQR // fliLMNOPQR
metJ	b3938	4128078	4128395	ECK3930	DNA-binding transcriptional repressor MetJ	metJ // b3938 // ECK3930	EG10588			metA // metF // ahpC // ahpF // metC // metE // metR // metL // metB // metK // folE // yeiB // metQ // metI // metN	b4013 // b3941 // b0605 // b0606 // b3008 // b3829 // b3828 // b3940 // b3939 // b2942 // b2153 // b2152 // b0197 // b0198 // b0199	negative regulation of DNA-templated transcription // methionine metabolic process // regulation of DNA-templated transcription // methionine biosynthetic process	cytoplasm // cytosol	protein binding // DNA-binding transcription factor activity // DNA binding // adenine binding	metJ // metJ // metJ
ygdR	b2833	2971271	2971489	ECK2829	DUF903 domain-containing lipoprotein YgdR	ygdR // b2833 // ECK2829	G7461						plasma membrane // outer membrane-bounded periplasmic space		ygdR
hipA	b1507	1590854	1592176	ECK1500	phosphorylated serine/threonine-protein kinase HipA // serine/threonine-protein kinase toxin HipA	hipA // b1507 // ECK1500	EG10443			mazF // mazE // relA // hipA // hipB	b2782 // b2783 // b2784 // b1507 // b1508	chromatin remodeling // phosphorylation // regulation of DNA-templated transcription // regulation of growth // negative regulation of DNA-templated transcription // response to antibiotic // single-species biofilm formation // peptidyl-serine autophosphorylation // dormancy process	toxin-antitoxin complex // protein-DNA complex // cytosol	histone H2AS1 kinase activity // protein serine kinase activity // sequence-specific DNA binding // DNA-binding transcription repressor activity // transcription cis-regulatory region binding // DNA binding // magnesium ion binding // ATP binding // protein serine/threonine kinase activity // protein binding	hipBA
